hotel,price,score,avg review,reviews count
The Marina Concord,TND 70,"10
Scored 10",Exceptional,4
ibis Styles Dubai Airport Hotel,TND 105,"7.6
Scored 7.6",Good,"12,681"
"Holiday Inn Express Dubai Airport, an IHG Hotel",TND 140,"7.9
Scored 7.9",Good,"20,696"
Travelers Friend Capsule 5 min walking Sharaf DG metro station,TND 7,"5.9
Scored 5.9",Review score,14
Dubai POD Capsule Hostel Near Sharaf DG & Burjuman Metro Station,TND 10,"6.3
Scored 6.3",Review score,26
Premier Inn Dubai International Airport,TND 123,"8.3
Scored 8.3",Very Good,"19,369"
Aloft Dubai Airport,TND 140,"8.3
Scored 8.3",Very Good,"4,028"
Hampton By Hilton Dubai Airport,TND 111,"7.6
Scored 7.6",Good,"5,562"
Honeycomb Capsule Hostel Near Burjuman and Sharaf dg metro,TND 9,"5.0
Scored 5.0",Review score,67
Flora Inn Hotel Dubai Airport,TND 152,"8.1
Scored 8.1",Very Good,"14,318"
Welcome Hostel,TND 7,"4.0
Scored 4.0",Review score,2
B.S Hostel DUBAI,TND 27,"10
Scored 10",Exceptional,1
Space Capsule Near Burjuman Metro Station,TND 10,"6.1
Scored 6.1",Review score,38
Ramada by Wyndham Dubai Deira,TND 104,"8.0
Scored 8.0",Very Good,"9,198"
Millennium Airport Hotel Dubai,TND 151,"8.2
Scored 8.2",Very Good,"11,634"
Le Méridien Dubai Hotel & Conference Centre,TND 255,"8.6
Scored 8.6",Excellent,"6,232"
"Four Points by Sheraton Production City, Dubai",TND 115,"8.3
Scored 8.3",Very Good,"1,832"
Ibis Styles Dubai Jumeira,TND 104,"7.7
Scored 7.7",Good,"4,805"
Ibis Deira Creekside Dubai,TND 117,"7.6
Scored 7.6",Good,"6,264"
Capsule and Hostels,TND 36,"5.0
Scored 5.0",Review score,1
Ramble Stay Hostel Burj Khalifa view,TND 51,"8.2
Scored 8.2",Very Good,106
Hampton by Hilton Dubai Al Seef,TND 130,"8.1
Scored 8.1",Very Good,"3,605"
"Mercure Gold Hotel, Jumeirah, Dubai",TND 109,"7.4
Scored 7.4",Good,"4,531"
City Seasons Towers Hotel Bur Dubai,TND 125,"7.5
Scored 7.5",Good,"6,899"
Dubai Homes near ADCB METRO STATION,TND 28,"8.2
Scored 8.2",Very Good,16
